"DATE_ID","THE_DATE","YEAR","QUARTER_NUMBER","QUARTER","MONTH_NUMBER","MONTH","MONTH_SHORT","WEEK_OF_YEAR","WEEK_OF_MONTH","DAY_OF_YEAR","DAY_OF_MONTH","DAY_OF_WEEK_NUMBER","DAY_OF_WEEK","DAY_OF_WEEK_SHORT","DAY_OF_WEEK_IN_MONTH","IS_WEEKDAY","NH_SEASON","SH_SEASON","IS_THIS_YEAR","IS_LAST_YEAR","IS_NEXT_YEAR","IS_THIS_QUARTER","IS_LAST_QUARTER","IS_NEXT_QUARTER","IS_THIS_MONTH","IS_LAST_MONTH","IS_NEXT_MONTH","IS_THIS_WEEK","IS_LAST_WEEK","IS_NEXT_WEEK","IS_TODAY","IS_YESTERDAY","IS_TOMORROW"
"19700101","1970-01-01 00:00:00","1970","1","Quarter 1","1","January","Jan","1","1","1","1","5","Thursday","Thu","1","1","Winter","Summer","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"19700102","1970-01-02 00:00:00","1970","1","Quarter 1","1","January","Jan","1","1","2","2","6","Friday","Fri","1","1","Winter","Summer","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"19700103","1970-01-03 00:00:00","1970","1","Quarter 1","1","January","Jan","1","1","3","3","7","Saturday","Sat","1","0","Winter","Summer","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"19700104","1970-01-04 00:00:00","1970","1","Quarter 1","1","January","Jan","2","2","4","4","1","Sunday","Sun","1","0","Winter","Summer","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"19700105","1970-01-05 00:00:00","1970","1","Quarter 1","1","January","Jan","2","2","5","5","2","Monday","Mon","1","1","Winter","Summer","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"19700106","1970-01-06 00:00:00","1970","1","Quarter 1","1","January","Jan","2","2","6","6","3","Tuesday","Tue","1","1","Winter","Summer","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"19700107","1970-01-07 00:00:00","1970","1","Quarter 1","1","January","Jan","2","2","7","7","4","Wednesday","Wed","1","1","Winter","Summer","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"19700108","1970-01-08 00:00:00","1970","1","Quarter 1","1","January","Jan","2","2","8","8","5","Thursday","Thu","2","1","Winter","Summer","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"19700109","1970-01-09 00:00:00","1970","1","Quarter 1","1","January","Jan","2","2","9","9","6","Friday","Fri","2","1","Winter","Summer","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"19700110","1970-01-10 00:00:00","1970","1","Quarter 1","1","January","Jan","2","2","10","10","7","Saturday","Sat","2","0","Winter","Summer","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"19700111","1970-01-11 00:00:00","1970","1","Quarter 1","1","January","Jan","3","3","11","11","1","Sunday","Sun","2","0","Winter","Summer","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"19700112","1970-01-12 00:00:00","1970","1","Quarter 1","1","January","Jan","3","3","12","12","2","Monday","Mon","2","1","Winter","Summer","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"19700113","1970-01-13 00:00:00","1970","1","Quarter 1","1","January","Jan","3","3","13","13","3","Tuesday","Tue","2","1","Winter","Summer","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"19700114","1970-01-14 00:00:00","1970","1","Quarter 1","1","January","Jan","3","3","14","14","4","Wednesday","Wed","2","1","Winter","Summer","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"19700115","1970-01-15 00:00:00","1970","1","Quarter 1","1","January","Jan","3","3","15","15","5","Thursday","Thu","3","1","Winter","Summer","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"19700116","1970-01-16 00:00:00","1970","1","Quarter 1","1","January","Jan","3","3","16","16","6","Friday","Fri","3","1","Winter","Summer","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"19700117","1970-01-17 00:00:00","1970","1","Quarter 1","1","January","Jan","3","3","17","17","7","Saturday","Sat","3","0","Winter","Summer","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"19700118","1970-01-18 00:00:00","1970","1","Quarter 1","1","January","Jan","4","4","18","18","1","Sunday","Sun","3","0","Winter","Summer","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
